ifd0_ImageDescription ,Count
200809091454000, 1
200809091457000, 1
200809191746000, 1
200811011316000, 1
200811011324000, 1
200811131141000, 1
200811131142000, 1
200811131143000, 1
200811131200000, 1
200811241858000, 1
200811291222000, 1
200811291225000, 1
200812021104000, 1
20081206094505, 1
200812071759000, 1
200812071823000, 1
200812081601000, 1
200901012211000, 1
200902041401000, 1
200902111633000, 1
200902141131000, 1
200902141146000, 1
200902141147000, 1
200902241116000, 1
200903041054000, 1
200903221750000, 1
200903231747000, 1
200904101405000, 1
200904101410000, 1
200905041724000, 1
200905121610000, 1
200905121625000, 2
200905131121000, 1
200905171132000, 2
200905171133000, 1
200905231945000, 1
200905261419000, 1
200905261420000, 1
200906100912000, 1
200906100913000, 1
200906211721000, 1
200906211733000, 2
200906211735000, 1
200908120942000, 1
200908221932000, 1
20100204082535, 1
20100205165716, 1
20100206202509, 1
20100206204854, 1
20100206204909, 1
20100207084340, 1
20100207084355, 1
20100207084718, 1
20100207084958, 1
20100207085319, 1
20100207085333, 1
20100207111621, 1
20100207112418, 1
201004142120000, 1
201008111122000, 1
201009121600000, 2
201012040822000, 1
201107051340000, 1
201107091212000, 1
201107161250000, 1
201107161251000, 1
201107161328000, 2
201107161329000, 1
201107161500000, 1
201107161512000, 3
201107161513000, 2
201107161514000, 2
201107161515000, 2
201110212033000, 1
2012 Little League World Seri, 1
201201221713000, 1
201201251841000, 1
201201261834000, 1
201201301609000, 1
201202021630000, 1
201202211404000, 1
201202242355000, 1
201202281337000, 1
201203112233000, 1
201203112238000, 1
201204051535000, 1
201204051540000, 1
201204081420000, 1
201204081533, 1
201204081546, 3
201204081558, 1
201204081654, 1
201204081655, 1
201204131357000, 1
201204131435000, 1
201205101137000, 1
201205181728000, 1
219;7;3, 1
219;9;3, 1
227;1;3, 2
230;1;3, 1
231;1;2, 1
231;1;3, 5
233;3;3, 1
234;4;3, 1
235;5;2, 1
235;5;3, 1
236;6;3, 2
237;9;3, 1
238;8;2, 1
306 306, 1
365 256 034 032, 1
37010.3009EC ..-d8G.$.. ., 1
3MegaCam, 19
478,10120,88,654,126,1024,268, 1
478,11472,1712,688,75,1024,25, 1
478,5928,536,1234,112,1024,26, 2
478,7096,680,1106,107,1024,26, 2
478,7136,720,1106,106,1024,26, 1
478,7464,24,978,128,1024,264,, 1
478,7784,344,978,118,1024,265, 1
478,7896,456,978,114,1024,264, 1
478,8800,336,850,118,1024,828, 1
4MP859 Digital Camera, 1
852,3232,0,1504,96,1024,993,9, 1
< Digimax U-CA 5, Kenox U-CA , 164
<?xml version=1.0 encoding=ut, 53
<desc>.  <title>..gir brewery, 2
<desc>.  <title>228 Peace Par, 3
<desc>.  <title>3rd tunnel - , 1
<desc>.  <title>A calf paddli, 1
<desc>.  <title>Akershus Fort, 3
<desc>.  <title>Amur Tiger</t, 20
<desc>.  <title>Anchor in a r, 1
<desc>.  <title>Another 1:1 L, 1
<desc>.  <title>Ant on a flow, 1
<desc>.  <title>Antique furni, 1
<desc>.  <title>Artic Fox</ti, 1
<desc>.  <title>Aurlandsvange, 4
<desc>.  <title>Avignon - Car, 1
<desc>.  <title>Avignon - Cit, 6
<desc>.  <title>Avignon - Ope, 1
<desc>.  <title>Avignon - Pal, 8
<desc>.  <title>Avignon - Pon, 5
<desc>.  <title>Avignon - Ros, 1
<desc>.  <title>Banks of the , 1
<desc>.  <title>Beach near Ar, 1
<desc>.  <title>Bee on a flow, 1
<desc>.  <title>Bell tower - , 1
<desc>.  <title>Ben Nevis</ti, 3
<desc>.  <title>Bergen as see, 2
<desc>.  <title>Bergenhus for, 3
<desc>.  <title>Bike at the n, 1
<desc>.  <title>Biological Mu, 1
<desc>.  <title>Blair Athol D, 5
<desc>.  <title>Blue Flower</, 1
<desc>.  <title>Blue Flowers<, 1
<desc>.  <title>Boat in the h, 1
<desc>.  <title>Boats in the , 1
<desc>.  <title>Brewery diagr, 1
<desc>.  <title>Bridge in Fl., 1
<desc>.  <title>Bridge in Gud, 1
<desc>.  <title>Bryggen, Berg, 7
<desc>.  <title>Building in G, 1
<desc>.  <title>Buoy</title>., 1
<desc>.  <title>Butterfly on , 1
<desc>.  <title>Calton hill f, 2
<desc>.  <title>Cannons at St, 1
<desc>.  <title>Captain Rosie, 1
<desc>.  <title>Carpenter bee, 4
<desc>.  <title>Cascades near, 15
<desc>.  <title>Cask at Tulli, 2
<desc>.  <title>Casks at Tull, 1
<desc>.  <title>Castillon du , 1
<desc>.  <title>Ch..teauneuf-, 4
<desc>.  <title>Charles Marte, 2
<desc>.  <title>Church in Avi, 2
<desc>.  <title>Church in Gou, 1
<desc>.  <title>Church in the, 1
<desc>.  <title>Church near S, 1
<desc>.  <title>Cool Beetle</, 1
<desc>.  <title>Copper mash t, 1
<desc>.  <title>Cottage &amp;, 3
<desc>.  <title>Cottage</titl, 1
<desc>.  <title>Cows on the b, 2
<desc>.  <title>Cricket</titl, 1
<desc>.  <title>Daisy</title>, 1
<desc>.  <title>Destroyed Tra, 2
<desc>.  <title>Dial at the H, 1
<desc>.  <title>Dorasan Obser, 1
<desc>.  <title>Dorasan Stati, 1
<desc>.  <title>Dragonfly scu, 1
<desc>.  <title>Dragonfly</ti, 2
<desc>.  <title>Easter Eggs</, 1
<desc>.  <title>Edinburgh Cas, 1
<desc>.  <title>Edinburgh Cit, 1
<desc>.  <title>Edinburgh fro, 1
<desc>.  <title>Edinburgh Sky, 1
<desc>.  <title>Famous boat d, 3
<desc>.  <title>Fat Pigeon at, 1
<desc>.  <title>Fjord1 ferry , 2
<desc>.  <title>Fjordtell Sig, 1
<desc>.  <title>Fl..m from ab, 3
<desc>.  <title>Fl..m from th, 1
<desc>.  <title>Fl..m Road Tr, 1
<desc>.  <title>Fl..msbana tr, 3
<desc>.  <title>Flamingo Chic, 1
<desc>.  <title>Fort Augustus, 1
<desc>.  <title>Fram model</t, 1
<desc>.  <title>Freedom Bridg, 1
<desc>.  <title>Fretheim hote, 2
<desc>.  <title>Gj..a</title>, 1
<desc>.  <title>Glencoe - Fir, 2
<desc>.  <title>Golden Palace, 1
<desc>.  <title>Granary build, 1
<desc>.  <title>Graves on the, 2
<desc>.  <title>Gyeongun-gung, 2
<desc>.  <title>Hamish the Co, 3
<desc>.  <title>Harpoon Gun</, 1
<desc>.  <title>Heron in a tr, 2
<desc>.  <title>Hong Kong Exh, 1
<desc>.  <title>Hong Kong Isl, 3
<desc>.  <title>House with (u, 1
<desc>.  <title>House with th, 1
<desc>.  <title>Inscription a, 1
<desc>.  <title>Inverlochy Ca, 4
<desc>.  <title>Jongmyo Shrin, 3
<desc>.  <title>Kjosfossen wa, 1
<desc>.  <title>Kowloon as se, 1
<desc>.  <title>La Roque sur , 8
<desc>.  <title>Lizard</title, 3
<desc>.  <title>Lone Chimpanz, 2
<desc>.  <title>Longshan Temp, 10
<desc>.  <title>Looking up th, 5
<desc>.  <title>Main gallery , 1
<desc>.  <title>Manor house, , 1
<desc>.  <title>Maritime Muse, 4
<desc>.  <title>Me at the top, 1
<desc>.  <title>Millshop, For, 1
<desc>.  <title>Monster Midge, 2
<desc>.  <title>Moulin de Cor, 3
<desc>.  <title>Mount Stuart<, 4
<desc>.  <title>Mountain in G, 2
<desc>.  <title>Mountains &am, 3
<desc>.  <title>Mountains abo, 1
<desc>.  <title>Mountains in , 7
<desc>.  <title>National Pala, 1
<desc>.  <title>Neil and Gwen, 1
<desc>.  <title>New Drive</ti, 2
<desc>.  <title>Norwegian fla, 1
<desc>.  <title>Norwegian Fol, 5
<desc>.  <title>Norwegian Par, 1
<desc>.  <title>Oich Bridge</, 2
<desc>.  <title>Old bus</titl, 1
<desc>.  <title>Old train in , 1
<desc>.  <title>One of the Va, 1
<desc>.  <title>Orange - Hero, 1
<desc>.  <title>Oslo - Akersh, 1
<desc>.  <title>Oslo - Founta, 1
<desc>.  <title>Oslo City Hal, 1
<desc>.  <title>Oslo harbour<, 8
<desc>.  <title>Our car, clos, 1
<desc>.  <title>Our little te, 1
<desc>.  <title>Our room in t, 2
<desc>.  <title>Photo from th, 7
<desc>.  <title>Pink Flowers<, 1
<desc>.  <title>Polar Bear st, 1
<desc>.  <title>Polar Ship Fr, 4
<desc>.  <title>Pond at Hill , 1
<desc>.  <title>Pont du Gard<, 9
<desc>.  <title>Radio in our , 1
<desc>.  <title>Railway motor, 1
<desc>.  <title>Resistance Mu, 1
<desc>.  <title>Restaurant ma, 1
<desc>.  <title>Rosie and a c, 1
<desc>.  <title>Rosie and me , 1
<desc>.  <title>Rosie</title>, 1
<desc>.  <title>Saughton skat, 2
<desc>.  <title>Scary man tel, 1
<desc>.  <title>Scottish Wild, 1
<desc>.  <title>Sea Palace Ch, 1
<desc>.  <title>Sealion at Ed, 2
<desc>.  <title>Ships docked , 4
<desc>.  <title>Side view of , 2
<desc>.  <title>Sign for the , 1
<desc>.  <title>Sint Nicolaas, 1
<desc>.  <title>Snake on a lo, 2
<desc>.  <title>Snow Cat in t, 1
<desc>.  <title>Spirit Safe @, 1
<desc>.  <title>Star Ferry, H, 1
<desc>.  <title>Stave church , 1
<desc>.  <title>Stirling Cast, 15
<desc>.  <title>Stockholm Har, 1
<desc>.  <title>Stockholms No, 1
<desc>.  <title>Street in Hon, 2
<desc>.  <title>Sunset behind, 1
<desc>.  <title>T-Rex skeleto, 1
<desc>.  <title>Tamron 10-24 , 1
<desc>.  <title>Th....tre ant, 6
<desc>.  <title>The Ceze seen, 1
<desc>.  <title>The front of , 1
<desc>.  <title>The old town , 1
<desc>.  <title>The Sheerwate, 1
<desc>.  <title>Thermometer a, 1
<desc>.  <title>This seagull , 1
<desc>.  <title>Thistle</titl, 1
<desc>.  <title>Tiny bugs</ti, 1
<desc>.  <title>Tiny flower o, 1
<desc>.  <title>Toad on a bra, 1
<desc>.  <title>Train in the , 1
<desc>.  <title>Trebuchet Urq, 2
<desc>.  <title>Triumphal Arc, 2
<desc>.  <title>Tullibardine , 1
<desc>.  <title>Undredal seen, 1
<desc>.  <title>Urquhart Cast, 8
<desc>.  <title>View down the, 1
<desc>.  <title>View from a s, 2
<desc>.  <title>View from Eas, 1
<desc>.  <title>View from Sga, 8
<desc>.  <title>View from Wes, 3
<desc>.  <title>View of mount, 4
<desc>.  <title>View of Rum f, 1
<desc>.  <title>View out from, 1
<desc>.  <title>View out to E, 1
<desc>.  <title>View out to t, 1
<desc>.  <title>View up Loch , 1
<desc>.  <title>View up the A, 1
<desc>.  <title>Viking Ship M, 6
<desc>.  <title>Vines at Doma, 1
<desc>.  <title>Wallace Monum, 1
<desc>.  <title>Wash Still cl, 1
<desc>.  <title>Wash Stills @, 1
<desc>.  <title>Watch out!</t, 1
<desc>.  <title>Waterfalls ne, 1
<desc>.  <title>Waves splashi, 4
<desc>.  <title>Xiaonanmen (L, 1
<desc>.  <title>Yeouido Water, 2
<desc>.  <title>Zebra</title>, 1
<desc>.  <title>Zombie skater, 1
<Digimax 370 / Kenox D370>, 64
<Digimax 430 / Kenox D430>, 216
<Digimax D53>, 799
<Digimax i5, Samsung #1>, 249
<Digimax i50 MP3, Samsung #1 , 37
<Digimax i6 PMP, Samsung #11 , 393
<Digimax L80 / Kenox X80>, 61
<Digimax S1000 / Kenox S1000>, 715
<Digimax S1030 / Kenox S1030>, 556
<Digimax S500 / Kenox S500 / , 1610
<Digimax S600 / Kenox S600 / , 2445
<Digimax S700 / Kenox S700 / , 913
<Digimax S800 / Kenox S800>, 564
<Digimax S830 / Kenox S830>, 599
<Digimax V5 / Kenox V5>, 55
<Digimax V6 / Kenox V6>, 47
<Digimax V700 / Kenox V10 / D, 461
<Digimax V700 / Kenox V10>, 27
<Digimax V800 / Kenox V20 / D, 367
<KENOX S1050  / Samsung S1050, 758
<KENOX S630  / Samsung S630>, 692
<KENOX S730  / Samsung S730>, 1188
<KENOX S760  / Samsung S760>, 216
<KENOX S860  / Samsung S860>, 358
<Samsung D70 / D75 / S730 / S, 459
<SAMSUNG DIGITAL CAMERA>, 805
<Samsung i7, Samsung VLUU i7>, 3
<Samsung i8, Samsung VLUU i8>, 452
<Samsung i85, Samsung VLUU i8, 266
<Samsung L74, Samsung VLUU L7, 227
<Samsung NV3, Samsung VLUU NV, 1500
<Samsung NV4, Samsung VLUU NV, 10
<VLUU L730  / Samsung L730>, 30
<VLUU L830  / Samsung L830>, 11
?, 1
Abandoned house, Frazumeira, 1
Abandoned rail line, 1
Abandoned rotating rail bridg, 2
Abandoned shack, 1
Above the clouds, 1
ACER, 2
Acer Image, 5
adss02x, 1
AGFA DIGITAL CAMERA, 1
AgfaPhoto, 1
Ain Diab Public Beach, 1
AIPTEK, 1
Albero di natale, 1
All the Plantronics Bluetooth, 1
Alleyway towards parking lot, 1
Anfa Place Beach, 2
Anfa Place residences, 1
APDSC DIGITAL CAMERA, 9
ARENA, 18
Ascensor de Gloria, 1
Autosave-File vom d-lab2/3 de, 59
Avenc Ample, 1
Avenue Listiqlal, Medina of E, 1
Awwwww, 1
Bab (door) Agnaou - Kasbah, M, 1
Bab (door) Sbaa, Medina of Es, 1
Back Camera, 934
BALI, 27
Baltimore Harbor, 2
Baltimore Harbor - Seating Ar, 1
Bar Simon - Sidonia, 1
Belly Dancer of the Year 2006, 1
BenQ, 39
BENQ DIGITAL CAMERA, 31
BF2-2201, 1
BF2-A000, 1
BF2-A002, 2
Bloor St. W storefronts, 1
Blvd Moulay Youssef, 1
Boarded up building, 1
Broken-down car, 1
Building on Rua S. Jose, 1
Burj Al Arab, 1
Busy place., 1
Buzz of Jemaa-el-Fna Square a, 1
By the shore of the Puget Sou, 1
C:DCIM100MEDIAIMG_0006.JPG, 1
Calle Joaquin Guichot, 1
Camden Yards, 1
CAMERA, 11
Camera 14MP-9PC, 3
Campanile, 1
Canoes stacked for the winter, 1
Canon PowerShot A75, 1
Captured on A45 ECO, 1
Carvoeiro beach, 1
Casa delle fate, 2
Centre National de Recherche , 1
Choctaw, lake, sunset, 1
Christ the Remptor from the S, 1
City plant watering, 1
Combat age, 1
Companion Camera, 1
Construction in Maarif, 2
Construction of Roudani Centr, 1
COOKIE2, 14
Copacabana Beach, from the Su, 1
Copper wares, 1
Corga ruins, 2
Corga sunset spot, 1
Cousins, 1
Cousins., 1
Creative Digital Camera, 5
D1000028, 1
D1000159.JPG, 1
D:DCIM100MEDIAIMG_0161.JPG, 1
D:DCIM100MEDIAIMG_0162.JPG, 1
D:DCIM100MEDIAIMG_0163.JPG, 1
D:DCIM100MEDIAIMG_0164.JPG, 1
D:DCIM100MEDIAIMG_0165.JPG, 1
D:DCIM100MEDIAIMG_0166.JPG, 1
D:DCIM100MEDIAIMG_0168.JPG, 1
D:DCIM100MEDIAIMG_0171.JPG, 1
D:DCIM100MEDIAIMG_0173.JPG, 1
D:DCIM100MEDIAIMG_0174.JPG, 1
D:DCIM100MEDIAIMG_0175.JPG, 1
D:DCIM100MEDIAIMG_0177.JPG, 1
D:DCIM100MEDIAIMG_0179.JPG, 1
D:DCIM100MEDIAIMG_0182.JPG, 1
D:DCIM100MEDIAIMG_0184.JPG, 1
D:DCIM100MEDIAIMG_0186.JPG, 1
D:DCIM100MEDIAIMG_0187.JPG, 1
D:DCIM100MEDIAIMG_0188.JPG, 1
D:DCIM100MEDIAIMG_0189.JPG, 1
D:DCIM100MEDIAIMG_0190.JPG, 1
D:DCIM100MEDIAIMG_0191.JPG, 1
D:DCIM100MEDIAIMG_0192.JPG, 1
D:DCIM100MEDIAIMG_0193.JPG, 1
D:DCIM100MEDIAIMG_0194.JPG, 1
D:DCIM100MEDIAIMG_0195.JPG, 1
D:DCIM100MEDIAIMG_0196.JPG, 1
D:DCIM100MEDIAIMG_0197.JPG, 1
D:DCIM100MEDIAIMG_0198.JPG, 1
D:DCIM100MEDIAIMG_0199.JPG, 1
D:DCIM100MEDIAIMG_0200.JPG, 1
D:DCIM100MEDIAIMG_0201.JPG, 1
D:DCIM100MEDIAIMG_0202.JPG, 1
D:DCIM100MEDIAIMG_0208.JPG, 1
D:DCIM100MEDIAIMG_0213.JPG, 1
D:DCIM100MEDIAIMG_0214.JPG, 1
D:DCIM100MEDIAIMG_0215.JPG, 1
D:DCIM100MEDIAIMG_0216.JPG, 1
D:DCIM100MEDIAIMG_0217.JPG, 1
D:DCIM100MEDIAIMG_0218.JPG, 1
D:DCIM100MEDIAIMG_0219.JPG, 1
D:DCIM100MEDIAIMG_0220.JPG, 1
D:DCIM100MEDIAIMG_0221.JPG, 1
D:DCIM100MEDIAIMG_0222.JPG, 1
D:DCIM100MEDIAIMG_0223.JPG, 1
D:DCIM100MEDIAIMG_0224.JPG, 1
D:DCIM100MEDIAIMG_0226.JPG, 1
D:DCIM100MEDIAIMG_0229.JPG, 1
D:DCIM100MEDIAIMG_0230.JPG, 1
D:DCIM100MEDIAIMG_0233.JPG, 1
D:DCIM100MEDIAIMG_0234.JPG, 1
D:DCIM100MEDIAIMG_0235.JPG, 1
D:DCIM100MEDIAIMG_0236.JPG, 1
D:DCIM100MEDIAIMG_0238.JPG, 1
D:DCIM100MEDIAIMG_0246.JPG, 1
D:DCIM100MEDIAIMG_0248.JPG, 1
D:DCIM100MEDIAIMG_0250.JPG, 1
D:DCIM100MEDIAIMG_0251.JPG, 1
D:DCIM100MEDIAIMG_0252.JPG, 1
D:DCIM100MEDIAIMG_0260.JPG, 1
D:DCIM100MEDIAIMG_0261.JPG, 1
D:DCIM100MEDIAIMG_0262.JPG, 1
D:DCIM100MEDIAIMG_0263.JPG, 1
D:DCIM100MEDIAIMG_0264.JPG, 1
D:DCIM100MEDIAIMG_0265.JPG, 1
D:DCIM100MEDIAIMG_0267.JPG, 1
D:DCIM100MEDIAIMG_0268.JPG, 1
D:DCIM100MEDIAIMG_0269.JPG, 1
D:DCIM100MEDIAIMG_0270.JPG, 1
D:DCIM100MEDIAIMG_0272.JPG, 1
D:DCIM100MEDIAIMG_0273.JPG, 1
D:DCIM100MEDIAIMG_0275.JPG, 1
D:DCIM100MEDIAIMG_0276.JPG, 1
D:DCIM100MEDIAIMG_0277.JPG, 1
D:DCIM100MEDIAIMG_0278.JPG, 1
D:DCIM100MEDIAIMG_0279.JPG, 1
D:DCIM100MEDIAIMG_0280.JPG, 1
D:DCIM100MEDIAIMG_0281.JPG, 1
D:DCIM100MEDIAIMG_0282.JPG, 1
D:DCIM100MEDIAIMG_0283.JPG, 1
D:DCIM100MEDIAIMG_0284.JPG, 1
D:DCIM100MEDIAIMG_0285.JPG, 1
D:DCIM100MEDIAIMG_0286.JPG, 1
D:DCIM100MEDIAIMG_0287.JPG, 1
D:DCIM100MEDIAIMG_0288.JPG, 1
D:DCIM100MEDIAIMG_0291.JPG, 1
D:DCIM100MEDIAIMG_0292.JPG, 1
D:DCIM100MEDIAIMG_0294.JPG, 1
D:DCIM100MEDIAIMG_0295.JPG, 1
D:DCIM100MEDIAIMG_0296.JPG, 1
D:DCIM100MEDIAIMG_0297.JPG, 1
D:DCIM100MEDIAIMG_0298.JPG, 1
D:DCIM100MEDIAIMG_0299.JPG, 1
D:DCIM100MEDIAIMG_0300.JPG, 1
D:DCIM100MEDIAIMG_0301.JPG, 1
D:DCIM100MEDIAIMG_0302.JPG, 1
D:DCIM100MEDIAIMG_0303.JPG, 1
D:DCIM100MEDIAIMG_0316.JPG, 1
D:DCIM100MEDIAIMG_0317.JPG, 1
D:DCIM100MEDIAIMG_0319.JPG, 1
D:DCIM100MEDIAIMG_0320.JPG, 1
D:DCIM100MEDIAIMG_0323.JPG, 1
D:DCIM100MEDIAIMG_0324.JPG, 1
D:DCIM100MEDIAIMG_0325.JPG, 1
D:DCIM100MEDIAIMG_0326.JPG, 1
D:DCIM100MEDIAIMG_0327.JPG, 1
D:DCIM100MEDIAIMG_0328.JPG, 1
D:DCIM100MEDIAIMG_0329.JPG, 1
D:DCIM100MEDIAIMG_0330.JPG, 1
D:DCIM100MEDIAIMG_0331.JPG, 1
D:DCIM100MEDIAIMG_0332.JPG, 1
D:DCIM100MEDIAIMG_0333.JPG, 1
D:DCIM100MEDIAIMG_0337.JPG, 1
D:DCIM100MEDIAIMG_0338.JPG, 1
D:DCIM100MEDIAIMG_0339.JPG, 1
D:DCIM100MEDIAIMG_0340.JPG, 1
D:DCIM100MEDIAIMG_0341.JPG, 1
D:DCIM100MEDIAIMG_0342.JPG, 1
D:DCIM100MEDIAIMG_0343.JPG, 1
D:DCIM100MEDIAIMG_0344.JPG, 1
D:DCIM100MEDIAIMG_0345.JPG, 1
D:DCIM100MEDIAIMG_0346.JPG, 1
D:DCIM100MEDIAIMG_0347.JPG, 1
D:DCIM100MEDIAIMG_0348.JPG, 1
D:DCIM100MEDIAIMG_0349.JPG, 1
D:DCIM100MEDIAIMG_0350.JPG, 1
D:DCIM100MEDIAIMG_0351.JPG, 1
D:DCIM100MEDIAIMG_0352.JPG, 1
D:DCIM100MEDIAIMG_0353.JPG, 1
D:DCIM100MEDIAIMG_0354.JPG, 1
D:DCIM100MEDIAIMG_0355.JPG, 1
D:DCIM100MEDIAIMG_0356.JPG, 1
D:DCIM100MEDIAIMG_0357.JPG, 1
D:DCIM127MEDIAIMG_0039.JPG, 1
D:DCIM127MEDIAIMG_0398.JPG, 1
D:DCIM127MEDIAIMG_0419.JPG, 1
D:DCIM127MEDIAIMG_0486.JPG, 1
D:DCIM127MEDIAIMG_0493.JPG, 1
D:DCIM127MEDIAIMG_0517.JPG, 1
D:DCIM127MEDIAIMG_0521.JPG, 1
D:DCIM127MEDIAIMG_0618.JPG, 1
D:DCIM127MEDIAIMG_0639.JPG, 1
D:DCIM127MEDIAIMG_0814.JPG, 1
D:DCIM127MEDIAIMG_0837.JPG, 1
D:DCIM127MEDIAIMG_0905.JPG, 2
D:DCIM127MEDIAIMG_0913.JPG, 1
D:DCIM127MEDIAIMG_1001.JPG, 1
D:DCIM127MEDIAIMG_1024.JPG, 1
D:DCIM127MEDIAIMG_1027.JPG, 1
D:DCIM127MEDIAIMG_1118.JPG, 1
D:DCIM127MEDIAIMG_1139.JPG, 2
D:DCIM127MEDIAIMG_1162.JPG, 1
D:DCIM127MEDIAIMG_1185.JPG, 1
D:DCIM129MEDIAIMG_0013.JPG, 1
D:DCIM129MEDIAIMG_0028.JPG, 1
D:DCIM129MEDIAIMG_0194.JPG, 1
D:DCIM129MEDIAIMG_0207.JPG, 1
D:DCIM129MEDIAIMG_0210.JPG, 1
D:DCIM129MEDIAIMG_0211.JPG, 1
D:DCIM129MEDIAIMG_0241.JPG, 1
D:DCIM129MEDIAIMG_0255.JPG, 1
D:DCIM129MEDIAIMG_0371.JPG, 1
DAKOTA, 2
darby, evans, mike, old, plac, 1
DCF 1.0, 1121
DCFC0003.JPG, 3
DCFC0006.JPG, 1
DCFC0009.JPG, 1
DCFC0012.JPG, 1
DCFC0013.JPG, 1
DCFC0023.JPG, 1
DCFC0024.JPG, 1
DCFC0025.JPG, 1
DCFC0028.JPG, 1
DCFC0031.JPG, 1
DCFC0040.JPG, 1
DCFC0051.JPG, 1
DCFC0054.JPG, 1
DCFC0055.JPG, 1
DCFC0059.JPG, 1
DCFC0061.JPG, 1
DCFC0064.JPG, 1
DCFC0065.JPG, 1
DCFC0067.JPG, 1
DCFC0068.JPG, 1
DCFC0070.JPG, 1
DCFC0077.JPG, 2
DCFC0081.JPG, 1
DCFC0082.JPG, 1
DCFC0085.JPG, 1
DCFC0086.JPG, 1
DCFC0090.JPG, 1
DCFC0103.JPG, 1
DCFC0110.JPG, 1
DCFC0111.JPG, 1
DCFC0113.JPG, 1
DCFC0123.JPG, 1
DCFC0124.JPG, 1
DCFC0130.JPG, 1
DCFC0142.JPG, 1
DCFC0150.JPG, 1
DCFC0152.JPG, 1
DCFC0154.JPG, 1
DCFC0161.JPG, 1
DCFC0173.JPG, 1
DCFC0182.JPG, 1
DCFC0183.JPG, 1
DCFC0187.JPG, 1
DCFC0195.JPG, 1
DCFC0201.JPG, 1
DCFC0207.JPG, 1
DCIM100GOPRO, 4145
DCIM100GOPROG0010121., 1
DCIM100GOPROG0010122., 1
DCIM100GOPROG0010123., 1
DCIM100GOPROG0010124., 1
DCIM100GOPROG0010125., 1
DCIM100GOPROG0010126., 1
