ifds_SpatialFrequencyResponse1 ,Count
0x[000459AC] / 285100, 1
0x[00045D94] / 286100, 14
0x[0004617C] / 287100, 6
0x[0004E264] / 320100, 13
0x[00050974] / 330100, 3
0x[00052C9D] / 339101, 2
0x[00059A09] / 367113, 3
0x[0005A9BB] / 371131, 3
0x[0005E434] / 386100, 2
0x[0005EC04] / 388100, 1
0x[0005F3D4] / 390100, 1
0x[00069FB6] / 434102, 2
0x[0006FD7D] / 458109, 3
0x[0007342D] / 472109, 2
0x[00073816] / 473110, 1
0x[00073FDC] / 475100, 9
0x[0007B8F4] / 506100, 1
0x[0007D44C] / 513100, 14
0x[0007D44D] / 513101, 14
0x[0007D44E] / 513102, 20
0x[0007E005] / 516101, 6
0x[0007E7D4] / 518100, 1
0x[00083600] / 538112, 1
0x[00084D66] / 544102, 1
0x[0008802C] / 557100, 1
0x[0008A753] / 567123, 1
0x[0008A754] / 567124, 6
0x[0008C683] / 575107, 3
0x[0008E5BC] / 583100, 7
0x[0008E9A5] / 584101, 12
0x[0008ED8D] / 585101, 1
0x[0008ED8E] / 585102, 5
0x[0008F174] / 586100, 2
0x[0008F176] / 586102, 1
0x[0008FD2C] / 589100, 15
0x[0008FD2D] / 589101, 22
0x[0008FD2E] / 589102, 26
0x[0008FD2F] / 589103, 20
0x[000A0311] / 656145, 3
0x[000A399F] / 670111, 3
0x[000A39A0] / 670112, 1
0x[000A39A1] / 670113, 1
0x[000A39A2] / 670114, 3
0x[000A39A3] / 670115, 3
0x[000A6874] / 682100, 5
0x[000A6C5C] / 683100, 6
0x[000A7044] / 684100, 1
0x[000A936C] / 693100, 16
0x[000A9755] / 694101, 28
0x[000A9B3E] / 695102, 7
0x[000A9F27] / 696103, 18
0x[000AA310] / 697104, 43
0x[000AA328] / 697128, 1
0x[000AA6F9] / 698105, 28
0x[000AAAE2] / 699106, 32
0x[000AAECB] / 700107, 27
0x[000AED53] / 716115, 1
0x[000B1092] / 725138, 2
0x[000B1093] / 725139, 1
0x[000B4F09] / 741129, 5
0x[000B8985] / 756101, 6
0x[000BA8C6] / 764102, 3
0x[000BB480] / 767104, 8
0x[000BB869] / 768105, 6
0x[000C8F3D] / 823101, 23
0x[000C970F] / 825103, 16
0x[000CC205] / 836101, 6
0x[000D2F65] / 864101, 6
0x[000D46DA] / 870106, 5
0x[000D8D2D] / 888109, 1
0x[000D9116] / 889110, 1
0x[000D94FF] / 890111, 1
0x[000D98E8] / 891112, 1
0x[000DA0B9] / 893113, 1
0x[000DA4A2] / 894114, 7
0x[000DA88B] / 895115, 4
0x[000DAC74] / 896116, 1
0x[000DB05D] / 897117, 2
0x[000DB446] / 898118, 2
0x[000DC036] / 901174, 6
0x[000E02AF] / 918191, 4
0x[000E545C] / 939100, 26
0x[000E7784] / 948100, 2
0x[000E7785] / 948101, 4
0x[000EC1BC] / 967100, 2
0x[000F003C] / 983100, 2
0x[000F003D] / 983101, 5
0x[000F080D] / 985101, 1
0x[000F0FDC] / 987100, 6
0x[000F3AD4] / 998100, 21
0x[009EE3B4] / 10412980, 14
0x[00], 60
0x[015FC15E] / 23052638, 21
0x[0160644D] / 23094349, 8
0x[016064AA] / 23094442, 9
0x[016064C3] / 23094467, 18
0x[01634C08] / 23284744, 23
0x[01902027] / 26222631, 36
0x[0190222A] / 26223146, 36
0x[019022FD] / 26223357, 33
0x[01902379] / 26223481, 17
0x[0190240E] / 26223630, 19
0x[01F0F0A2] / 32567458, 8
0x[02001500 0D3A0048 6F72697A, 19
0x[02001500 23390048 6F72697A, 159
0x[02001500 31F90048 6F72697A, 33
0x[02001500 53706174 69616C20, 350
0x[023206F9] / 36833017, 2
0x[03BDBF6D] / 62766957, 4
0x[03BE4266] / 62800486, 2
0x[0E13DBFF] / 236182527, 19
0x[1074A765] / 276080485, 12
0x[10DBFFE8] / 282853352, 13
0x[10DFF769] / 283113321, 8
0x[113A2622] / 289023522, 1
0x[117AC091] / 293257361, 16
0x[117AD9F8] / 293263864, 1
0x[11C88D78] / 298356088, 3
0x[129C03FA] / 312214522, 6
0x[141CDDA6] / 337436070, 5
0x[1432CD76] / 338873718, 2
0x[146941BB] / 342442427, 4
0x[1D6E80B9] / 493781177, 29
0x[284F35A1] / 676279713, 2
0x[28A32C36] / 681782326, 9
0x[2A5E89CC] / 710838732, 4
0x[2DDB41D8] / 769343960, 26
0x[FFFFFFFF] / 4294967295, 1370
