ifds_ExifImageWidth ,Count
0x[00000CEE] / 3310, 1
0x[00000CF0] / 3312, 7
0x[00000CF8] / 3320, 1
0x[00000CFB] / 3323, 1
0x[00000CFD] / 3325, 1
0x[00000D00] / 3328, 435
0x[00000D01] / 3329, 1
0x[00000D03] / 3331, 2
0x[00000D04] / 3332, 8
0x[00000D05] / 3333, 2
0x[00000D0B] / 3339, 1
0x[00000D10] / 3344, 626
0x[00000D11] / 3345, 2
0x[00000D12] / 3346, 37
0x[00000D13] / 3347, 3
0x[00000D14] / 3348, 1
0x[00000D19] / 3353, 1
0x[00000D1C] / 3356, 1
0x[00000D20] / 3360, 112
0x[00000D21] / 3361, 1
0x[00000D22] / 3362, 2
0x[00000D24] / 3364, 1
0x[00000D29] / 3369, 1
0x[00000D2A] / 3370, 1
0x[00000D2F] / 3375, 1
0x[00000D30] / 3376, 8
0x[00000D31] / 3377, 3
0x[00000D34] / 3380, 1
0x[00000D35] / 3381, 2
0x[00000D40] / 3392, 6
0x[00000D42] / 3394, 1
0x[00000D45] / 3397, 1
0x[00000D48] / 3400, 1
0x[00000D4D] / 3405, 1
0x[00000D50] / 3408, 248
0x[00000D53] / 3411, 1
0x[00000D57] / 3415, 1
0x[00000D58] / 3416, 1
0x[00000D59] / 3417, 1
0x[00000D5C] / 3420, 2
0x[00000D5E] / 3422, 1
0x[00000D60] / 3424, 188
0x[00000D62] / 3426, 35
0x[00000D64] / 3428, 1
0x[00000D66] / 3430, 1
0x[00000D6C] / 3436, 1
0x[00000D6E] / 3438, 1
0x[00000D70] / 3440, 2
0x[00000D72] / 3442, 2
0x[00000D75] / 3445, 1
0x[00000D78] / 3448, 7
0x[00000D7A] / 3450, 2
0x[00000D7F] / 3455, 1
0x[00000D80] / 3456, 6004
0x[00000D86] / 3462, 1
0x[00000D88] / 3464, 20
0x[00000D8E] / 3470, 1
0x[00000D8F] / 3471, 3
0x[00000D90] / 3472, 85
0x[00000D97] / 3479, 2
0x[00000D9A] / 3482, 1
0x[00000D9C] / 3484, 2
0x[00000D9D] / 3485, 1
0x[00000DA0] / 3488, 371
0x[00000DA2] / 3490, 1
0x[00000DA4] / 3492, 4
0x[00000DA5] / 3493, 1
0x[00000DA7] / 3495, 1
0x[00000DA9] / 3497, 1
0x[00000DAC] / 3500, 1
0x[00000DB0] / 3504, 51
0x[00000DB3] / 3507, 1
0x[00000DB8] / 3512, 1
0x[00000DBB] / 3515, 2
0x[00000DBE] / 3518, 1
0x[00000DC0] / 3520, 11
0x[00000DC2] / 3522, 1
0x[00000DC4] / 3524, 1
0x[00000DC9] / 3529, 1
0x[00000DD0] / 3536, 1
0x[00000DD1] / 3537, 1
0x[00000DD3] / 3539, 1
0x[00000DDE] / 3550, 1
0x[00000DE0] / 3552, 1949
0x[00000DE1] / 3553, 1
0x[00000DE3] / 3555, 1
0x[00000DEA] / 3562, 1
0x[00000DEF] / 3567, 1
0x[00000DF0] / 3568, 2647
0x[00000DF3] / 3571, 1
0x[00000DF5] / 3573, 1
0x[00000DF7] / 3575, 1
0x[00000DFC] / 3580, 1
0x[00000DFF] / 3583, 29
0x[00000E00] / 3584, 392
0x[00000E03] / 3587, 1
0x[00000E04] / 3588, 1
0x[00000E06] / 3590, 3
0x[00000E0A] / 3594, 2
0x[00000E10] / 3600, 43
0x[00000E11] / 3601, 2
0x[00000E13] / 3603, 1
0x[00000E17] / 3607, 1
0x[00000E18] / 3608, 1
0x[00000E19] / 3609, 1
0x[00000E20] / 3616, 9
0x[00000E21] / 3617, 2
0x[00000E28] / 3624, 1
0x[00000E29] / 3625, 21
0x[00000E30] / 3632, 15
0x[00000E32] / 3634, 1
0x[00000E35] / 3637, 128
0x[00000E37] / 3639, 1
0x[00000E3C] / 3644, 1
0x[00000E40] / 3648, 52243
0x[00000E42] / 3650, 1
0x[00000E46] / 3654, 1
0x[00000E47] / 3655, 1
0x[00000E50] / 3664, 542
0x[00000E53] / 3667, 6
0x[00000E56] / 3670, 1
0x[00000E57] / 3671, 1
0x[00000E58] / 3672, 88
0x[00000E5A] / 3674, 2
0x[00000E5C] / 3676, 1
0x[00000E60] / 3680, 543
0x[00000E61] / 3681, 1
0x[00000E64] / 3684, 84
0x[00000E6B] / 3691, 1
0x[00000E70] / 3696, 22
0x[00000E71] / 3697, 1
0x[00000E79] / 3705, 1
0x[00000E80] / 3712, 530
0x[00000E84] / 3716, 1
0x[00000E88] / 3720, 2
0x[00000E8A] / 3722, 1
0x[00000E8B] / 3723, 1
0x[00000E90] / 3728, 1
0x[00000E92] / 3730, 1
0x[00000E96] / 3734, 1
0x[00000E97] / 3735, 1
0x[00000E98] / 3736, 1
0x[00000E9F] / 3743, 1
0x[00000EA0] / 3744, 2
0x[00000EAC] / 3756, 1
0x[00000EB8] / 3768, 1
0x[00000EBC] / 3772, 1
0x[00000EC0] / 3776, 2513
0x[00000EC9] / 3785, 7
0x[00000ED8] / 3800, 2
0x[00000ED9] / 3801, 2
0x[00000EE0] / 3808, 2
0x[00000EE4] / 3812, 2
0x[00000EEA] / 3818, 1
0x[00000EED] / 3821, 1
0x[00000EF0] / 3824, 1
0x[00000EF1] / 3825, 1
0x[00000EFA] / 3834, 1
0x[00000F00] / 3840, 4470
0x[00000F04] / 3844, 1
0x[00000F06] / 3846, 13
0x[00000F0F] / 3855, 1
0x[00000F10] / 3856, 2
0x[00000F12] / 3858, 1
0x[00000F13] / 3859, 1
0x[00000F1C] / 3868, 2
0x[00000F1D] / 3869, 1
0x[00000F20] / 3872, 10773
0x[00000F21] / 3873, 1
0x[00000F2C] / 3884, 1
0x[00000F30] / 3888, 2983
0x[00000F31] / 3889, 1
0x[00000F40] / 3904, 3
0x[00000F41] / 3905, 1
0x[00000F46] / 3910, 2
0x[00000F48] / 3912, 1
0x[00000F50] / 3920, 827
0x[00000F5B] / 3931, 1
0x[00000F60] / 3936, 399
0x[00000F62] / 3938, 2
0x[00000F6C] / 3948, 1
0x[00000F6D] / 3949, 1
0x[00000F6F] / 3951, 1
0x[00000F80] / 3968, 5268
0x[00000F89] / 3977, 1
0x[00000F8E] / 3982, 1
0x[00000F90] / 3984, 338
0x[00000F93] / 3987, 2
0x[00000F97] / 3991, 1
0x[00000F9B] / 3995, 1
0x[00000F9F] / 3999, 1
0x[00000FA0] / 4000, 40651
0x[00000FAC] / 4012, 1
0x[00000FB4] / 4020, 3
0x[00000FC0] / 4032, 11599
0x[00000FD0] / 4048, 293
0x[00000FD1] / 4049, 1
0x[00000FD2] / 4050, 1
0x[00000FD5] / 4053, 1
0x[00000FE0] / 4064, 4
0x[00000FFF] / 4095, 1
0x[00001000] / 4096, 613
0x[00001004] / 4100, 1
0x[00001008] / 4104, 88
0x[0000100F] / 4111, 8
0x[00001018] / 4120, 3
0x[00001020] / 4128, 6464
0x[00001030] / 4144, 2
0x[0000103A] / 4154, 1
0x[00001040] / 4160, 732
0x[00001050] / 4176, 373
0x[00001058] / 4184, 1
0x[00001060] / 4192, 2
0x[00001065] / 4197, 1
0x[0000106A] / 4202, 1
0x[00001070] / 4208, 383
0x[00001080] / 4224, 3067
0x[0000108F] / 4239, 1
0x[00001090] / 4240, 534
0x[00001095] / 4245, 1
0x[00001098] / 4248, 1
0x[000010A0] / 4256, 213
0x[000010A6] / 4262, 1
0x[000010AD] / 4269, 1
0x[000010AF] / 4271, 1
0x[000010B0] / 4272, 3017
0x[000010B7] / 4279, 2
0x[000010C0] / 4288, 5286
0x[000010D8] / 4312, 1
0x[000010E0] / 4320, 15477
0x[000010E8] / 4328, 1
0x[000010F0] / 4336, 1
0x[000010F2] / 4338, 1
0x[00001100] / 4352, 287
0x[00001102] / 4354, 96
0x[00001110] / 4368, 18
0x[00001120] / 4384, 16
0x[00001130] / 4400, 1
0x[00001140] / 4416, 131
0x[00001141] / 4417, 1
0x[00001150] / 4432, 1
0x[0000115B] / 4443, 1
0x[0000116A] / 4458, 3
0x[0000116D] / 4461, 1
0x[0000117E] / 4478, 62
0x[00001180] / 4480, 153
0x[00001194] / 4500, 1
0x[00001196] / 4502, 1
0x[0000119F] / 4511, 1
0x[000011A0] / 4512, 5
0x[000011B5] / 4533, 1
0x[000011B7] / 4535, 39
0x[000011C0] / 4544, 1
0x[000011E0] / 4576, 974
0x[000011F0] / 4592, 8564
0x[00001200] / 4608, 18998
0x[00001208] / 4616, 3
0x[00001220] / 4640, 4
0x[0000123F] / 4671, 1
0x[00001240] / 4672, 865
0x[00001250] / 4688, 1
0x[00001260] / 4704, 419
0x[00001268] / 4712, 1
0x[00001276] / 4726, 1
0x[00001290] / 4752, 125
0x[000012A0] / 4768, 2
0x[000012B0] / 4784, 1
0x[000012C0] / 4800, 2
0x[000012D8] / 4824, 8
0x[000012E0] / 4832, 43
0x[00001300] / 4864, 335
0x[00001320] / 4896, 13403
0x[00001328] / 4904, 2
0x[00001330] / 4912, 15839
0x[00001334] / 4916, 1
0x[00001340] / 4928, 1689
0x[00001350] / 4944, 5
0x[00001360] / 4960, 4
0x[00001361] / 4961, 1
0x[00001370] / 4976, 185
0x[00001377] / 4983, 1
0x[00001380] / 4992, 8
0x[0000138A] / 5002, 10
0x[00001390] / 5008, 7
0x[0000139C] / 5020, 2
0x[0000139D] / 5021, 1
0x[000013A0] / 5024, 5
0x[000013B0] / 5040, 2
0x[000013D0] / 5072, 2
0x[000013E0] / 5088, 2
0x[000013E3] / 5091, 1
0x[00001400] / 5120, 5
0x[00001420] / 5152, 142
0x[00001430] / 5168, 1
0x[00001440] / 5184, 1409
0x[00001460] / 5216, 7
0x[00001470] / 5232, 3
0x[00001480] / 5248, 66
0x[00001490] / 5264, 2
0x[000014B0] / 5296, 1
0x[000014C0] / 5312, 567
0x[000014F0] / 5360, 3
0x[000014F8] / 5368, 66
0x[00001518] / 5400, 2
0x[00001520] / 5408, 1
0x[00001530] / 5424, 8
0x[00001550] / 5456, 343
0x[00001560] / 5472, 4550
0x[00001580] / 5504, 13
0x[00001591] / 5521, 1
0x[000015A0] / 5536, 82
0x[000015A9] / 5545, 1
0x[000015DB] / 5595, 1
0x[0000161A] / 5658, 1
0x[00001620] / 5664, 1
0x[00001650] / 5712, 1
0x[00001680] / 5760, 38
0x[000016A0] / 5792, 1
0x[00001700] / 5888, 2
0x[0000170E] / 5902, 43
0x[00001730] / 5936, 1
0x[00001770] / 6000, 8250
0x[00001780] / 6016, 68
0x[000017A0] / 6048, 299
0x[000017C0] / 6080, 1
0x[000017D0] / 6096, 2
0x[000017F0] / 6128, 1
0x[00001820] / 6176, 2
0x[00001850] / 6224, 1
0x[00001870] / 6256, 2
0x[00001880] / 6272, 2
0x[000018A0] / 6304, 1
0x[000018B0] / 6320, 1
0x[000018C0] / 6336, 1
0x[000018F0] / 6384, 1
0x[00001900] / 6400, 2
0x[00001910] / 6416, 2
0x[00001940] / 6464, 1
0x[00001950] / 6480, 1
0x[00001970] / 6512, 1
0x[00001990] / 6544, 55
0x[000019B0] / 6576, 1
0x[000019C0] / 6592, 1
0x[00001A40] / 6720, 1
0x[00001AD0] / 6864, 1
0x[00001AF0] / 6896, 1
0x[00001B00] / 6912, 1
0x[00001B10] / 6928, 1
0x[00001B60] / 7008, 1
0x[00001BC0] / 7104, 1
0x[00001BE0] / 7136, 2
0x[00001BF0] / 7152, 463
0x[00001C20] / 7200, 1
0x[00001C90] / 7312, 1
0x[00001CA0] / 7328, 1
0x[00001CF0] / 7408, 1
0x[00001D00] / 7424, 1
0x[00001D55] / 7509, 1
0x[00001E00] / 7680, 11
0x[00001E30] / 7728, 746
0x[00001EC0] / 7872, 1
0x[00001ED0] / 7888, 1
0x[00001F00] / 7936, 1
0x[00001FA0] / 8096, 2
0x[00001FB0] / 8112, 1
0x[00002000] / 8192, 468
0x[00002060] / 8288, 1
0x[00002100] / 8448, 1
0x[00002110] / 8464, 1
0x[00002440] / 9280, 1
0x[00002580] / 9600, 1
0x[00002700] / 9984, 1
0x[00002710] / 10000, 1
0x[00002730] / 10032, 1
0x[00002740] / 10048, 1
0x[00002780] / 10112, 1
0x[000028D0] / 10448, 1
0x[000028F0] / 10480, 6
0x[00002A10] / 10768, 1
0x[00002A30] / 10800, 122
0x[00002D00] / 11520, 14
0x[00003080] / 12416, 135
0x[00003540] / 13632, 7
0x[0000FFFF] / 65535, 15
0x[31332E35] / 825437749, 2
0x[36352E38] / 909454904, 1
0x[36372E39] / 909585977, 93
0x[400E0000] / 1074659328, 1
1000, 112
1001, 1
1003, 1
1004, 1
1008, 2
1009, 1
1012, 1
1013, 2
1017, 1
1022, 6
1023, 1
1024, 2594
1028, 1
1029, 2
1030, 1
1033, 2
1036, 29
1037, 3
1038, 1
1039, 1
1040, 1
1043, 1
1044, 1
1045, 3
1050, 1
1051, 1
1052, 2
1056, 1
1057, 2
1060, 3
1064, 1
1066, 1
1067, 2
1068, 3
1071, 1
1072, 43
1075, 4
1078, 1
1080, 4
1083, 2
1085, 1
1088, 5
1090, 2
1094, 1
1095, 2
1098, 1
1099, 1
1100, 3
1104, 3
1110, 1
1113, 3
1118, 2
1122, 88
1123, 1
1128, 1
1129, 2
1131, 1
1132, 9
1133, 1
1136, 2
1137, 3
1139, 30
1144, 5
1146, 1
1149, 1
1150, 1
1152, 160
1155, 1
1159, 1
1160, 4
1161, 1
1162, 1
1164, 5
1165, 2
1166, 2
1167, 1
1168, 66
1170, 1
1174, 1
1175, 1
1176, 1
1180, 1
1183, 1
1184, 8
1187, 1
1188, 2
1189, 2
1190, 3
1191, 1
1192, 12
1193, 2
1194, 1
1195, 1
1196, 2
1197, 1
1198, 3
1199, 1
1200, 4035
1203, 3
1204, 4
1206, 1
1208, 1
1210, 3
1212, 1
1213, 2
1216, 15
1217, 3
1222, 1
1223, 1
1224, 7
1225, 1
1228, 39
1229, 1
1230, 1
1232, 9
1236, 2
1242, 28
1243, 1
1244, 2
1245, 1
1249, 2
1250, 2
1252, 4
1253, 1
1255, 1
1259, 1
1260, 2
1265, 1
1267, 1
1269, 1
1270, 1
1271, 1
1274, 5
1275, 2
1277, 2
1278, 1
1279, 1
1280, 1453
1281, 4
1283, 2
1285, 2
1288, 64
1290, 2
1291, 2
1294, 4
1296, 6
1298, 3
1299, 1
1300, 5
1303, 1
1304, 1
1305, 1
1306, 1
1307, 3
1308, 1
1309, 1
1311, 1
1312, 8
1313, 6
1314, 7
1315, 1
1318, 2
1319, 2
1320, 2
1321, 2
1323, 2
1327, 1
1329, 6
1330, 3
1331, 1
1332, 1
1333, 4
1334, 2
1336, 1
1338, 1
1339, 1
1342, 1
1343, 1
1344, 21
1345, 2
1346, 1
1347, 1
1348, 1
1349, 2
1350, 1
1352, 3
1353, 1
1354, 87
1355, 1
1356, 1
1358, 1
1359, 3
1360, 149
1361, 1
1362, 4
1365, 5
1366, 2
1367, 7
1368, 27
1370, 1
1374, 3
1375, 2
1376, 3
1381, 1
1382, 3
1383, 2
1385, 2
1386, 2
1387, 1
1389, 1
1390, 3
1396, 1
1398, 2
1400, 1
1402, 1
1404, 1
1405, 5
1406, 2
1407, 4
1408, 6
1412, 2
1413, 1
1415, 1
1418, 2
1419, 1
1420, 2
1424, 53
1425, 1
1428, 4
1429, 1
1431, 1
1432, 1
1434, 1
1435, 1
1436, 3
1437, 1
1438, 1
1439, 1
1440, 176
1443, 1
1444, 4
1445, 3
1447, 1
1449, 1
1452, 1
1454, 1
1456, 9
1458, 2
1459, 4
1460, 4
1461, 1
1462, 2
1463, 1
1465, 1
1466, 2
1467, 1
1468, 2
1469, 1
1472, 3
1474, 3
1475, 1
1476, 2
1477, 1
1479, 1
1480, 1
1482, 6
1486, 1
1488, 242
1489, 1
1490, 4
1491, 1
1492, 2
1493, 4
1494, 1
1496, 302
1497, 1
1498, 5
1499, 1
1500, 15
1501, 1
1503, 2
1504, 218
1505, 1
1506, 2
1508, 2
1509, 1
1512, 154
1513, 5
1514, 2
1515, 1
1516, 2
1517, 2
1519, 1
1521, 2
1523, 2
1524, 225
1525, 1
1526, 2
1527, 2
1529, 1
1530, 2
1531, 3
1533, 1
1534, 3
1536, 3222
1537, 1
1538, 1
1540, 2
1541, 1
1542, 3
1544, 2
1546, 1
1547, 2
1548, 1
1549, 3
1550, 3
1551, 2
1552, 31
1555, 3
1556, 7
1559, 1
1560, 1
1561, 2
1562, 1
1563, 1
1566, 1
1567, 3
1568, 52
1569, 1
1570, 1
1571, 1
1572, 2
1574, 2
1575, 5
1576, 1
1577, 1
1578, 3
1579, 2
1580, 3
1582, 1
1583, 1
1584, 7
1586, 1
1587, 1
1588, 2
1589, 1
1590, 2
1591, 2
1592, 8
1594, 1
1596, 2
1597, 5
1598, 3
1599, 1
160, 8
1600, 34548
1601, 1
1604, 2
1605, 2
1606, 2
1607, 1
1608, 4
1609, 2
1611, 1
1612, 1
1613, 3
1615, 4
1618, 2
1619, 1
1620, 28
1621, 2
1622, 1
1626, 2
1627, 1
1628, 1
1629, 3
1631, 1
1632, 42
1634, 1
1636, 2
1637, 2
1638, 121
1643, 1
1644, 2
1648, 1
1652, 4
1653, 2
1654, 1
1655, 1
1656, 283
1657, 3
1658, 1
1659, 3
1660, 4
1661, 1
1664, 197
1665, 3
1666, 2
1667, 1
1669, 1
1670, 1
1671, 1
1672, 3
1675, 3
1678, 2
1679, 2
1680, 10
1681, 1
1682, 4
1684, 2
1687, 1
1688, 1
1690, 3
1691, 1
1692, 2
1693, 1
1695, 1
1696, 22
1697, 1
1698, 2
1699, 2
1700, 1
1701, 1
1702, 1
1704, 1973
1705, 1
1706, 19
1708, 9
1710, 1
1711, 2
1712, 56
1713, 1
1714, 1
1717, 1
1718, 3
1719, 1
1720, 6
1721, 2
1722, 1
1723, 1
1724, 1
1726, 1
1727, 5
1728, 1802
1729, 3
1731, 3
1732, 4
1738, 1
1740, 1
1741, 2
1742, 1
1743, 5
1744, 2
1747, 1
1750, 2
1751, 2
1752, 19
1753, 2
1754, 3
1755, 1
1758, 3
176, 1
1760, 559
1761, 1
1762, 2
1763, 1
1766, 2
1767, 2
1770, 1
1772, 2
1774, 3
1775, 1
1779, 1
1781, 1
1782, 1
1783, 1
1785, 2
1786, 2
1788, 1
1792, 132
1793, 1
1795, 1
1796, 2
1797, 1
1798, 2
1799, 2
1800, 1032
1802, 1
1804, 2
1807, 1
1810, 2
1812, 3
1813, 3
1815, 3
1818, 5
1819, 1
1820, 1
1821, 1
1824, 670
1826, 1
1827, 1
1828, 4
183, 1
1830, 4
1832, 5
1833, 1
1836, 4
1838, 2
1839, 1
1840, 7
1842, 1
1843, 1
1844, 4
1845, 2
1846, 2
1847, 1
1851, 6
1854, 1
1856, 53
1858, 3
1859, 3
1860, 4
1861, 1
1862, 1
1864, 1
1866, 3
1867, 2
1869, 1
1870, 3
1872, 1
1874, 4
1875, 2
1876, 3
1877, 2
1878, 5
1879, 1
1880, 182
1881, 2
1882, 1
1883, 1
1885, 1
1888, 5
1889, 1
1890, 1
1891, 2
1892, 2
1897, 1
1898, 3
1899, 3
1900, 10
1901, 1
1903, 1
1904, 2
1905, 2
1908, 2
1910, 2
1914, 1
1915, 1
1918, 2
1920, 543
1920, 0, 6
1925, 1
1926, 1
1927, 2
1928, 1
1931, 1
1932, 261
1933, 2
1934, 1
1935, 1
1936, 3258
1937, 2
1938, 3
1939, 1
1940, 1
1944, 2305
1945, 2
1946, 4
1947, 39
1948, 1
1950, 3
1951, 2
1952, 1
1953, 1
1955, 2
1956, 2
1959, 2
1960, 23
1961, 1
1964, 3
1965, 1
1966, 4
1967, 1
1969, 1
1970, 2
1971, 1
1972, 1
1973, 1
1974, 1
1975, 2
1978, 2
1980, 2
1981, 3
1982, 1
1983, 2
1984, 317
1986, 1
1991, 3
1992, 2
1993, 2
1994, 1
1995, 1
1996, 2
2000, 1080
2001, 3
2004, 2
2005, 3
2006, 3
2007, 2
2009, 1
2010, 2
2011, 2
2012, 4
2013, 1
2014, 54
2016, 32
2017, 1
2019, 1
2022, 2
2023, 1
2024, 2
2025, 1
2026, 1
2027, 3
2028, 3
2029, 1
2030, 1
2031, 1
2032, 1103
2034, 2
2035, 2
2036, 1
2037, 1
2039, 1
2040, 1
2041, 2
2042, 1
2043, 2
2044, 3
2045, 2
2046, 1
2047, 3
2048, 22735
2049, 1
2050, 2
2051, 3
2052, 1
2053, 1
2054, 2
2056, 48
2058, 5
2059, 2
2060, 4
2061, 1
2064, 2
2068, 2
2071, 2
2072, 1
2073, 9
2074, 14
2075, 2
2076, 1
2078, 1
2079, 1
2080, 2
2081, 1
2084, 4
2085, 1
2087, 1
2088, 1
2089, 2
2090, 1
2092, 1
2098, 1
2099, 1
2100, 32
2102, 1
2104, 9
2105, 1
2109, 1
2111, 1
2112, 947
2113, 1
2117, 2
2118, 1
2120, 2
2121, 1
2122, 1
2123, 1
2124, 1
2126, 1
2128, 45
2129, 3
2130, 1
2131, 1
2134, 1
2135, 1
2136, 323
2139, 1
2142, 55
2144, 1298
2145, 2
2147, 1
2148, 1
2149, 1
2150, 3
2151, 1
2152, 1
2156, 1
2158, 1
2159, 1
2160, 539
2161, 3
2162, 1
2164, 1
2169, 1
2171, 1
2173, 2
2175, 1
2176, 1
2177, 1
2178, 1
2179, 2
2180, 1
2185, 1
2186, 1
2188, 2
2189, 1
2190, 2
2191, 1
2195, 1
2197, 1
2198, 3
2202, 1
2204, 1
2205, 1
2208, 1
2210, 1
2211, 4
2212, 2
2217, 1
2219, 2
2220, 2
2222, 2
2223, 1
2224, 3
2225, 1
2226, 6
2229, 1
2232, 1
2237, 1
2239, 1
2240, 1347
2241, 1
2242, 2
2243, 1
2244, 2
2245, 3
2247, 1
2248, 65
2250, 1
2251, 3
2252, 1
2256, 3269
2257, 2
2258, 2
2260, 1
2261, 1
2263, 1
2265, 1
2266, 1
2267, 1
2269, 1
2270, 1
2271, 2
2272, 19290
2273, 1
2274, 2
2277, 1
2278, 1
228, 1
2280, 2
2282, 2
2284, 1
2285, 2
2287, 1
2288, 3
2289, 1
2290, 1
2292, 1
2293, 1
2294, 2
2295, 1
2296, 4
2297, 1
2298, 1
2300, 1
2302, 18
2304, 5738
2306, 2
2310, 1
2311, 2
2313, 6
2314, 4
2318, 1
2319, 2
2320, 1
2321, 1
2322, 2
2323, 2
2324, 1
2326, 8
2328, 1
2329, 1
2330, 1
2333, 1
2334, 1
2335, 2
2336, 456
2337, 2
2339, 1
2340, 2
2341, 1
2343, 2
2352, 1069
2353, 2
2354, 2
2355, 1
2358, 3
2361, 1
2362, 2
2363, 2
2365, 1
2366, 1
2368, 2
2369, 1
2370, 3
2371, 2
2373, 1
2375, 1
2376, 10
2380, 1
2381, 1
2382, 1
2383, 3
2386, 2
2387, 1
2389, 1
2390, 2
2391, 1
2392, 1
2397, 2
2398, 1
240, 15
2400, 57
2401, 1
2402, 1
2403, 1
2405, 1
2408, 1
2409, 1
2413, 6
2415, 2
2418, 2
2419, 2
2420, 1
2422, 1
2423, 1
2424, 2
2426, 1
2429, 1
2431, 2
2432, 56
2433, 2
2434, 2
2439, 3
2440, 1
2442, 11
2444, 1
2445, 2
2446, 1
2448, 1864
2449, 2
245, 1
2450, 2
2451, 1
2455, 3
2456, 1
2457, 1
2458, 21
2462, 2
2463, 1
2464, 1331
2465, 1
2468, 1
2469, 2
2470, 1
2471, 1
2473, 2
2475, 1
2478, 1
2480, 7
2481, 1
2484, 8
2485, 1
2487, 1
2489, 19
2491, 2
2493, 1
2495, 1
2496, 2646
2500, 3
2502, 2
2503, 1
2505, 1
2506, 1
2507, 2
2509, 1
2510, 1
2512, 1
2513, 3
2514, 2
2515, 1
2516, 1
2519, 2
2520, 1
2521, 1
2523, 1
2524, 1
2526, 2
2527, 2
2529, 1
2530, 3
2533, 1
2534, 15
2535, 2
2536, 2
2540, 2
2541, 1
2543, 1
2544, 601
2545, 2
2546, 1
2547, 1
2548, 2
2552, 7
2553, 1
2554, 2
2555, 1
2556, 2
2557, 1
2559, 1
256, 1
2560, 2552
2561, 3
2563, 1
2564, 1
2565, 3
2567, 1
2568, 30
2570, 1
2572, 1
2573, 1
2576, 1117
2577, 1
2578, 1
2579, 2
2580, 182
2582, 2
2585, 1
2586, 5
2587, 1
2588, 3
2589, 2
2591, 4
2592, 25444
2595, 2
2596, 1
2599, 1
2600, 146
2601, 3
2606, 2
2607, 6
2609, 1
2611, 2
2612, 3
2616, 1
2617, 1
2624, 1
2625, 1
2626, 1
2628, 6
2629, 1
2631, 1
2633, 1
2634, 2
2638, 1
2640, 16
2644, 1
2646, 9
2647, 1
2652, 6
2654, 2
2657, 2
2659, 1
2660, 1
2662, 1
2663, 1
2665, 1
2669, 1
2671, 2
2672, 1
2673, 1
2674, 1
2677, 1
2679, 2
2680, 1
2685, 1
2687, 2
2688, 2
2689, 1
2691, 3
2696, 1
2697, 1
2699, 1
2701, 1
2703, 1
2707, 1
2708, 2
2711, 1
2714, 1
2717, 1
2718, 9
2720, 14
2721, 2
2724, 1
2726, 1
2727, 6
2730, 2
2732, 1
2734, 2
2736, 868
2737, 1
2738, 2
2742, 2
2743, 1
2745, 1
2746, 1
2749, 2
275, 2
2750, 1
2751, 1
2754, 8
2758, 1
2759, 1
2761, 1
2763, 1
2764, 6
27650, 1
2768, 1
2771, 1
2772, 7
2775, 1
2776, 1
2778, 1
2782, 2
2783, 1
2784, 1267
2785, 1
2786, 1
2788, 1
2789, 2
2790, 9
2791, 1
2793, 1
2796, 3
2797, 1
2799, 1
2800, 3
2802, 6
2803, 2
2808, 2
2809, 1
2810, 3
2811, 2
2813, 1
2816, 18106
2818, 1
2820, 2
2826, 9
2830, 1
2831, 1
2832, 388
2836, 5
2837, 2
2838, 1
2840, 1
2842, 1
2843, 1
2844, 7
2846, 1
2848, 1228
2851, 3
2853, 1
2854, 2
2855, 1
2856, 248
2858, 1
2860, 7
2862, 8
2867, 3
2868, 1
2871, 1
2872, 1
2876, 1
288, 2
2880, 2
2883, 1
289, 1
2890, 1
2891, 3
2895, 3
2896, 6896
2898, 1
2900, 1
2904, 1
2907, 3
2908, 1
2909, 1
2910, 1
2912, 211
2914, 2
2916, 8
2918, 6
2919, 1
2920, 1
2922, 2
2925, 6
2926, 1
2927, 1
2931, 1
2932, 1
2933, 3
2936, 1
2938, 1
2940, 3
2943, 9
2944, 2
2947, 6
2948, 1
295, 1
2950, 2
2958, 2
2960, 1
2962, 3
2964, 2
2965, 1
2966, 1
2967, 1
2969, 1
2970, 1
2971, 1
2973, 1
2975, 1
2976, 6
2977, 2
2978, 1
2980, 2
2982, 1
2984, 1
2987, 2
2988, 3
2992, 2
2994, 1
2997, 1
2998, 1
2999, 1
300, 2
3000, 971
3004, 1
3005, 1
3006, 9
3008, 19903
3010, 1
3011, 1
3013, 1
3017, 9
3020, 1
3023, 1
3024, 7
3025, 1
3027, 2
3028, 1
3029, 2
3030, 2
3034, 2
3037, 1
3039, 19
304, 1
3040, 2
3042, 9
3044, 2
3047, 1
3048, 1
3049, 1
3052, 1
3055, 1
3056, 2
3057, 1
3059, 2
3060, 6
3064, 1
3065, 2
3066, 1
3067, 2
3070, 5
3072, 21486
3073, 1
3075, 3
3076, 3
3077, 1
3079, 3
308, 1
3080, 1
3081, 2
3082, 300
3084, 1
3085, 2
3086, 1
3087, 1
3088, 1244
3090, 3
3091, 2
3093, 3
3094, 1
3095, 1
3102, 1
3104, 16
3106, 1
3109, 1
3110, 287
3112, 1
3114, 1
3115, 1
3117, 1
3118, 1
3121, 3
3124, 1
3127, 2
3130, 1
3131, 2
3132, 1
3137, 1
3139, 2
3143, 2
3149, 1
3152, 1
3154, 1
3155, 1
3157, 2
3159, 2
3162, 1
3164, 2
3167, 1
3168, 566
3169, 1
3170, 3
3171, 2
3172, 3
3174, 1
3177, 1
3178, 4
318, 1
3180, 1
3181, 1
